l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
101252,51721,70218,380000,12,4,50,,Amprion,,502.09477687266,,,,,'','SRID=4326;LINESTRING(7.31265247621118 52.4668104110958,7.32071021014467 52.4713640731429)'
101331,54536,55198,220000,6,,,,,,218.389626556572,,,,,'','SRID=4326;LINESTRING(8.94466560082545 49.570313568508,8.94761656653379 49.5707807877213)'
101698,50322,50324,380000,3,4,50,535,50Hertz,535,230.696303761985,,,,,'','SRID=4326;LINESTRING(11.5134632836233 51.5802763726576,11.51618140601 51.5799076051768)'
101871,22158,50065,220000,6,2,50,Leitung 2010,TenneT,2010,33590.093566287,,,,,'','SRID=4326;LINESTRING(9.2507958453077 53.1143538767995,9.13794801567189 52.8470269944345)'
102072,48793,48794,380000;22000,12,4;2,,,RWE,4572,408.476319258797,,,,,'','SRID=4326;LINESTRING(6.63344329674763 51.6162098060579,6.62901442273386 51.6137688071981)'
102168,51619,51954,380000,6,4;2,,Meerbusch West,RWE,4123,322.800591969009,,,,,'','SRID=4326;LINESTRING(6.72033167479422 51.3441235773954,6.71919422798147 51.3412994045182)'
102488,49659,49652,220000;110000,6,1,,Regensburg - Schwandorf;Schwandorf - Wutzlhofen,TenneT TSO GmbH;E.ON Netz GmbH,275;113,17596.5426298162,,,,,'','SRID=4326;LINESTRING(12.0807455227891 49.2861351867559,12.108331527523 49.1404008755141)'
102509,48324,48609,380000;220000,9,,,'1 x 380 kV, 2 x 220 kV',,,401.412467117939,,,,,'','SRID=4326;LINESTRING(8.53116550599048 49.8530190929433,8.52894019936866 49.856341498397)'
102696,70157,48986,110000,6,1,50,110 kV Auenheim Nord; Glesch Nord,RWE,0008,1268.70457603163,,,,,'','SRID=4326;LINESTRING(6.66768117680512 50.9932912305209,6.66352365353096 50.9763307843942)'
103430,52344,53064,220000,9,2,50,,,,981.791359835509,,,,,'','SRID=4326;LINESTRING(7.00421358778901 49.3767428818487,7.01122305211946 49.3836917849041)'
103627,51754,53367,380000;110000,6;3,,,,,,569.296830997877,,,,,'','SRID=4326;LINESTRING(7.82705709297628 52.4620928888183,7.82686036192906 52.467143862929)'
103840,48777,48774,380000,3,,50,,,,356.222171206285,,,,,'','SRID=4326;LINESTRING(7.42474524551043 51.4592583943398,7.41989227685103 51.4603225664995)'
103984,18221,48536,110000,6,1,50,110 kV Kriftel Nord+Süd,RWE,,391.163810680433,,,,,'','SRID=4326;LINESTRING(8.47130677635285 50.0972089406338,8.47704075248088 50.0935645616639)'
105277,54889,54851,380000,6,3,50,449 Mecklar - Vieselbach;450 Mecklar - Eisenach,50Hertz,449;450,14920.8705308774,,,,,'','SRID=4326;LINESTRING(10.3876429164359 51.008426169893,10.2025741575583 51.0073421113329)'
105341,51817,48702,380000,6,4,,,,,5576.9800738179,,,,,'','SRID=4326;LINESTRING(8.84506031229075 50.1636071718281,8.8124858729526 50.2031170664485)'
105422,16830,49368,220000,3,,,,,,35.360056261176,,,,,'','SRID=4326;LINESTRING(10.6412606125323 48.0274331829332,10.6418026309511 48.0258492685192)'
105563,54690,24652,380000;220000,12,4;2,50,380 kV Gilzem Ost; Uchtelfangen West; 220 kV Heisdorf - Quint Nord; Niederstedem Ost,Amprion,4553,10424.7520085629,,,,,'','SRID=4326;LINESTRING(6.56844524520752 49.7993590637094,6.7022873159826 49.8289942252717)'
106517,52083,51441,380000;110000,12,4,50,RWE 4562 Ronsdorf - Bomig,RWE,4562,6981.03818930833,,,,,'','SRID=4326;LINESTRING(7.40115809126378 51.1018347626972,7.3241024926541 51.1397460647522)'
107383,50258,49744,110000,6,,,,EON_Netz,,7220.2097626722,,,,,'','SRID=4326;LINESTRING(9.34237268414491 53.641415596735,9.44332849987776 53.6205294994561)'
