v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
553,36.6051412669327,38.0906311630564,substation,,,Göksun SKM,,,SRID=4326;POINT(36.6051412669327 38.0906311630564)
554,38.3083893963386,37.4568257682811,substation,380000;154000,,Atatürk HES TM,,,SRID=4326;POINT(38.3083893963386 37.4568257682811)
555,36.3612521892074,37.5980129891907,substation,380000;154000,,Andırın TM,TEİAŞ,,SRID=4326;POINT(36.3612521892074 37.5980129891907)
556,20.5221169251778,50.7877496693967,substation,220000;110000,,Stacja elektroenergetyczna "Radkowice" 220/110/30/15kV,PSE Operator,RAD,SRID=4326;POINT(20.5221169251778 50.7877496693967)
557,31.5245018555942,36.8891964279933,substation,380000;154000,,Oymapınar HES TM,TEAİŞ,,SRID=4326;POINT(31.5245018555942 36.8891964279933)
558,30.7075001288873,36.9582650740604,substation,,,Varsak TM,TEİAŞ,,SRID=4326;POINT(30.7075001288873 36.9582650740604)
559,29.2384079813227,37.7996942317896,substation,,,Denizli OSB TM,TEİAŞ,,SRID=4326;POINT(29.2384079813227 37.7996942317896)
560,30.580946398015,38.7918442556788,substation,380000,,Afyon-2 380kV TM,TEİAŞ,,SRID=4326;POINT(30.580946398015 38.7918442556788)
561,32.4075152646649,39.7759536835392,substation,,,Temelli TM,TEİAŞ,,SRID=4326;POINT(32.4075152646649 39.7759536835392)
562,29.8839203293483,39.5741928839247,substation,,,Seyitömer TES TM,,,SRID=4326;POINT(29.8839203293483 39.5741928839247)
563,31.0217644776655,40.0350376329122,substation,380000,,Gökçekaya HES TM,EÜAŞ,,SRID=4326;POINT(31.0217644776655 40.0350376329122)
564,29.463215132895,39.6276964476627,substation,380000,,TUTES ŞALT TM,TEİAŞ,,SRID=4326;POINT(29.463215132895 39.6276964476627)
565,27.2422557455036,38.418672749197,substation,380000,,Işıklar TM,,,SRID=4326;POINT(27.2422557455036 38.418672749197)
566,32.8135456171039,40.0495346189278,substation,380000;154000,,Bağlum TM,TEİAŞ,,SRID=4326;POINT(32.8135456171039 40.0495346189278)
567,35.7376843574562,40.5712871307808,substation,,,Kayabaşı 380kV TM,,,SRID=4326;POINT(35.7376843574562 40.5712871307808)
568,31.6942690078986,40.0990527849215,substation,,,Çayırhan TES TM,,,SRID=4326;POINT(31.6942690078986 40.0990527849215)
569,30.3932996590007,40.8636814136924,substation,380000,,Adapazarı-1 DGKÇ,,,SRID=4326;POINT(30.3932996590007 40.8636814136924)
570,31.8627121709621,37.4595361180409,substation,,,Seydişehir TM,,,SRID=4326;POINT(31.8627121709621 37.4595361180409)
571,35.5111069912806,37.1063538531248,substation,380000;154000,,Adana TM,TEİAŞ,,SRID=4326;POINT(35.5111069912806 37.1063538531248)
572,27.8798697598654,37.1433621388063,substation,,,Yeniköy TES TM,,,SRID=4326;POINT(27.8798697598654 37.1433621388063)
573,27.6021111179262,37.8566610896362,substation,380000,,Germencik 380kV TM,TEİAŞ,,SRID=4326;POINT(27.6021111179262 37.8566610896362)
574,37.2861324425509,37.1669664219871,substation,,,Gaziantep-2,,,SRID=4326;POINT(37.2861324425509 37.1669664219871)
575,21.3319580328554,50.4426330236847,substation,400000;220000;110000;15000,,Stacja elektroenergetyczna "Połaniec" 400/220/110kV,PSE Operator,PEL,SRID=4326;POINT(21.3319580328554 50.4426330236847)
576,21.8526464260486,49.6882153644544,substation,400000;110000,,Stacja elektroenergetyczna "Krosno Iskrzynia" 400/110 kV,PSE Operator,KRI,SRID=4326;POINT(21.8526464260486 49.6882153644544)
577,21.8710468739922,50.1914848711349,substation,750000;400000;110000,,Rzeszów Systemowa (Widełka) 750/400/110 kV,PSE Operator,RZE,SRID=4326;POINT(21.8710468739922 50.1914848711349)
578,10.3513292622827,46.0504365342214,substation,380000,,San Fiorano,Terna,,SRID=4326;POINT(10.3513292622827 46.0504365342214)
579,10.062558153712,46.3488456574895,substation,380000,,Robbia,,,SRID=4326;POINT(10.062558153712 46.3488456574895)
580,19.3285243369039,51.3161132789252,substation,400000;220000,,Stacja elektroenergetyczna "Rogowiec" 400/220 kV,PSE Operator,ROG,SRID=4326;POINT(19.3285243369039 51.3161132789252)
581,21.0464188585088,51.3380297718583,substation,220000;110000,,Stacja elektroenergetyczna „Rożki” 220/110 kV,PSE Operator,ROZ,SRID=4326;POINT(21.0464188585088 51.3380297718583)
582,9.87377774251126,47.073170027338,substation,220000,,KW Lünersee,,,SRID=4326;POINT(9.87377774251126 47.073170027338)
583,9.59185774628973,47.3124872532619,substation,380000;220000,,Umspannwerk Meiningen,Vorarlberger Energienetze GmbH,,SRID=4326;POINT(9.59185774628973 47.3124872532619)
584,9.30249334139847,47.3977182134451,substation,220000,,Winkeln,,,SRID=4326;POINT(9.30249334139847 47.3977182134451)
585,10.3319117356476,46.8038742065314,substation,,,,,,SRID=4326;POINT(10.3319117356476 46.8038742065314)
586,9.66980157530554,47.1988946826361,generator,,,Walgaukraftwerk,Vorarlberger Illwerke AG,,SRID=4326;POINT(9.66980157530554 47.1988946826361)
587,9.71674655813334,47.4326674334264,substation,380000;220000,,Umspannwerk Werben - Dornbirn,Vorarlberger Energienetze GmbH,,SRID=4326;POINT(9.71674655813334 47.4326674334264)
588,16.118891675349,49.1037540067666,substation,400000;110000,,Slavětice,,,SRID=4326;POINT(16.118891675349 49.1037540067666)
589,15.8799271659043,48.3296036603783,substation,380000,,Umspannwerk Dürnrohr,Verbund,,SRID=4326;POINT(15.8799271659043 48.3296036603783)
590,12.3029357692725,46.2010481823229,substation,220000,,Soverzene,Enel Produzione,,SRID=4326;POINT(12.3029357692725 46.2010481823229)
591,12.8057594137622,46.8250590173521,substation,220000;110000,50,APG Umspannwerk Lienz,Austrian Power Grid AG,,SRID=4326;POINT(12.8057594137622 46.8250590173521)
592,15.4228721548001,46.9036730348566,substation,380000;110000,,Umspannwerk Kainachtal/Zwaring,Verbund Austrian Power Grid AG;STEWEAG-STEG,,SRID=4326;POINT(15.4228721548001 46.9036730348566)
593,15.6956755477046,46.5219550288855,substation,,,RTP Maribor,,,SRID=4326;POINT(15.6956755477046 46.5219550288855)
594,17.6935391720263,47.6731758274349,substation,,,Győr Kelet alállomás,MAVIR,Győr,SRID=4326;POINT(17.6935391720263 47.6731758274349)
595,16.9949411708862,47.9380217029138,substation,380000;110000,,Umspannwerk Zurndorf,Austrian Power Grid AG;Energie Burgenland AG,,SRID=4326;POINT(16.9949411708862 47.9380217029138)
596,16.8380326685428,47.9604756221563,substation,220000;110000,,Umspannwerk Neusiedl,BEWAG;Verbund Austrian Power Grid AG,,SRID=4326;POINT(16.8380326685428 47.9604756221563)
597,18.1085910808269,54.7185976174731,substation,400000;110000,,Stacja elektroenergetyczna "Żarnowiec" 400/110 kV,PSE Operator;Energa,ZRC,SRID=4326;POINT(18.1085910808269 54.7185976174731)
598,18.7096770624767,54.3386818552754,substation,400000;110000,,Stacja elektroenergetyczna "Gdańsk Błonia" 400/110 kV,PSE Operator,GBL,SRID=4326;POINT(18.7096770624767 54.3386818552754)
599,18.4412351854874,54.3375666557188,substation,400000;220000;110000,,Stacja elektroenergetyczna "Gdańsk I" 400/220/110 kV,PSE Operator,GDA,SRID=4326;POINT(18.4412351854874 54.3375666557188)
600,19.1627929302812,47.6923144965174,substation,,50,Göd alállomás,,Göd,SRID=4326;POINT(19.1627929302812 47.6923144965174)
601,19.5805895716593,47.2244855978636,substation,,50,Albertirsa alállomás,,,SRID=4326;POINT(19.5805895716593 47.2244855978636)
602,-6.87722977918006,39.72433269809,substation,400000,50,Central Eléctrica de Alcántara,Iberdrola,,SRID=4326;POINT(-6.87722977918006 39.72433269809)
603,-6.35792705933009,39.4796838246443,substation,220000,50,,,,SRID=4326;POINT(-6.35792705933009 39.4796838246443)
604,-5.98928854667642,39.8357238596847,substation,,,,,,SRID=4326;POINT(-5.98928854667642 39.8357238596847)
605,-5.66567188952229,39.821085776237,substation,220000;132000;66000,50,Subestación de Almaraz,Red Eléctrica de España,,SRID=4326;POINT(-5.66567188952229 39.821085776237)
606,-5.6934819938166,39.807578685352,substation,400000;220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-5.6934819938166 39.807578685352)
607,-6.73354475640469,41.0172082566877,substation,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-6.73354475640469 41.0172082566877)
608,-5.58967623869021,39.9504226006439,substation,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-5.58967623869021 39.9504226006439)
609,-6.67876685680618,41.2077819584734,substation,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-6.67876685680618 41.2077819584734)
610,-6.80346171642564,41.0347611250893,substation,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-6.80346171642564 41.0347611250893)
